Sample,Mean Wind Power,MeanLoad,Standard Deviation,Average,Variability,WindShare,LowPower,MedPower,HighPower,LowVar,MedVar,HighVar,LowWind,HighWind,Checksum,,,,Max average wind power,Max average wind power,Max wind power std deviation,Max average in sample,Max std deviation in sample,Max load,Number of samples
89,4373.22875,47925.19542,1224.588968,0.336402212,0.313997171,0.091251141,0,1,0,0,1,0,0,1,3,,,,,,,,,,
90,6372.932083,45427.95708,1411.929972,0.490225545,0.362033326,0.140286566,0,1,0,0,1,0,0,1,3,,,,,,,,,,
91,4360.620417,54432.80833,1590.035013,0.33543234,0.407701285,0.08011015,0,1,0,0,1,0,0,1,3,,,,,,,,,,
92,1797.417917,56083.53167,573.9303967,0.138262917,0.14716164,0.032048943,1,0,0,1,0,0,1,0,3,,,,,,,,,,
93,4917.86375,55694.90333,1466.040165,0.378297212,0.375907735,0.088300068,0,1,0,0,1,0,0,1,3,,,,,,,,,,
94,5183.489167,54173.63958,1575.297407,0.398729936,0.403922412,0.095682867,0,1,0,0,1,0,0,1,3,,,,,,,,,,
95,5276.521667,53060.84292,1601.289118,0.405886282,0.410586953,0.099442854,0,1,0,0,1,0,0,1,3,,,,,,,,,,
96,6375.334167,48498.19708,677.0354698,0.490410321,0.173598838,0.131455076,0,1,0,1,0,0,0,1,3,,,,,,,,,,
97,2766.685417,45932.08542,890.7693734,0.212821955,0.228402403,0.060234265,1,0,0,1,0,0,1,0,3,,,,,,,,,,
98,3600.27875,52735.57583,1287.770935,0.276944519,0.330197676,0.068270398,1,0,0,0,1,0,1,0,3,,,,,,,,,,
